TOK,SHOT,TIME,PHASE,PGASA,RGEO,AMIN,KAPPA,SPLASMA,CONFIG,IGRADB,WALMAT,DIVMAT,LIMMAT,EVAP,BT,IP,Q95,NEL,ZEFF,DIVNAME,PL,PLTH,PFLOSS,PRADCORE,DIVCON,FRACNMIN,LHTIME,AUXHEAT,SELEC2024
CMOD,1070830005,1.04129, LH,2.0000,0.672961,0.222098,1.63983,7.4128, SN,1, MO, MO, MO,,5.32093,817201,4.85221,1.87E+20,1.1533, DIVNOSE,1597630,1597630,0,0, VERTPLT,-1.00E-08,1.04229,IC,1
CMOD,1070830006,0.92614, LH,2.0000,0.6724,0.222105,1.63917,7.42148, SN,1, MO, MO, MO,,5.31901,827374,4.78698,1.64E+20,1.3205, DIVNOSE,1544270,1544270,0,0, VERTPLT,-1.00E-08,0.92714,IC,1
CMOD,1070830017,1.09778, LH,2.0000,0.671955,0.222747,1.62883,7.41438, SN,1, MO, MO, MO,,5.32232,822898,4.70326,1.32E+20,1.4837, DIVNOSE,1306990,1306990,0,0, VERTPLT,-1.00E-08,1.09878,IC,0
CMOD,1070830022,0.5695, LH,2.0000,0.672655,0.222355,1.61478,7.36101, SN,1, MO, MO, MO,,5.28213,1006990,3.89073,1.87E+20,1.4141, DIVNOSE,2975910,2975910,0,0, VERTPLT,-1.00E-08,0.5705,IC,1
CMOD,1080430015,1.02479, LH,2.0000,0.67017,0.21808,1.66702,7.36226, SN,1, MO, MO, MO,,5.37941,1018770,3.88328,1.18E+20,1.5656, DIVNOSE,2071910,2071910,0,0, VERTPLT,-1.00E-08,1.02579,IC,0
CMOD,1080430016,1.05725, LH,2.0000,0.670318,0.21859,1.66603,7.3737, SN,1, MO, MO, MO,,5.3735,1011530,3.9384,9.08E+19,2.157, DIVNOSE,2240750,2240750,0,0, VERTPLT,-1.00E-08,1.05825,IC,0
CMOD,1080430017,1.26161, LH,2.0000,0.670141,0.217866,1.70086,7.43782, SN,1, MO, MO, MO,,5.37051,1004170,4.09346,7.86E+19,2.8306, DIVNOSE,2514110,2514110,0,0, VERTPLT,-1.00E-08,1.26261,IC,0
CMOD,1080523018,0.68261, LH,2.0000,0.672789,0.216914,1.66945,7.261, SN,1, MO, MO, MO,,5.33788,642539,6.03848,1.41E+20,0.8828, DIVNOSE,1671100,1671100,0,0, VERTPLT,-1.00E-08,0.68361,IC,1
CMOD,1080523020,0.67841, LH,2.0000,0.673089,0.21502,1.67798,7.23578, SN,1, MO, MO, MO,,5.34046,641192,5.95781,1.40E+20,1.6754, DIVNOSE,1613830,1613830,0,0, VERTPLT,-1.00E-08,0.67941,IC,1
CMOD,1090821031,0.78172, LH,2.0000,0.670105,0.218855,1.57351,7.0957, SN,1, MO, MO, MO,,5.41274,1034140,3.582,1.74E+20,1.4613, DIVNOSE,1960720,1960720,0,0, VERTPLT,-1.00E-08,0.78272,IC,1
CMOD,1090824021,0.90115, LH,2.0000,0.672324,0.220442,1.50329,6.98202, SN,1, MO, MO, MO,,5.38481,1044690,3.28631,1.91E+20,1.3204, DIVNOSE,2514830,2514830,0,0, VERTPLT,-1.00E-08,0.90215,IC,1
CMOD,1090828007,0.79642, LH,2.0000,0.672062,0.222959,1.67782,7.59199, SN,1, MO, MO, MO,,5.38776,1032870,3.95947,1.73E+20,1.9139, DIVNOSE,2234960,2234960,0,0, VERTPLT,-1.00E-08,0.79742,IC,1
CMOD,1091021021,0.7383, LH,2.0000,0.671946,0.217983,1.65236,7.28322, SN,1, MO, MO, MO,,5.31507,1036510,3.50505,2.09E+20,1.5165, DIVNOSE,2383600,2383600,0,0, VERTPLT,-1.00E-08,0.7393,IC,1
CMOD,1091021024,0.69885, LH,2.0000,0.671875,0.217173,1.63949,7.22898, SN,1, MO, MO, MO,,5.32048,1042590,3.44323,2.05E+20,1.6486, DIVNOSE,2713400,2713400,0,0, VERTPLT,-1.00E-08,0.69985,IC,1
